name,field,subcategory,mbti
Tanitoluwa Adewumi,Sports,Chess,ENTP
Tanner Houck,Sports,Baseball,ISTP
Tara Lipinski,Sports,Ice skating,ESFP
Tarjei Bø,Sports,Skiing & Snowboarding,ENTP
Tarvaris Jackson,Sports,Football,ISFP
Tashaun Gipson,Sports,Football,ISTJ
Tati Cariani,Sports,Bodybuilding,ESFP
Tatiana Kosintseva,Sports,Chess,INTP
Tatiana Nabieva,Sports,Gymnastics,ESFJ
Tavon Austin,Sports,Football,ISFP
Tawanchai P.K. Saenchaimuaythaigym,Sports,MMA,ISTP
Tay Conti,Sports,Wrestling,ESFP
Taylor Lewan,Sports,Football,ESTJ
Taylor Twellman,Sports,Football,ENTP
Taysom Hill,Sports,Football,ESTP
"Ted DiBiase, ""The Million Dollar Man""",Sports,Wrestling,ESTP
Ted Ginn Jr.,Sports,Football,ISFJ
Ted Kravitz,Entertainment,"Hosts, Analysts & Commentators",INTP
Ted Williams,Sports,Baseball,ISTP
Teddy Bridgewater,Sports,Football,ISFP
Teddy Bruschi,Sports,Football,ESTJ
Teddy Riner,Sports,Martial Arts,ESFJ
Teemu Selänne,Sports,Hockey,ESFJ
Teimour Radjabov,Sports,Chess,INTP
Telvin Smith,Sports,Football,ESTJ
Tennys Sandgren,Sports,Tennis,INFP
Teófimo López,Sports,Boxing,ESFP
Teoscar Hernandez,Sports,Baseball,ISFP
Terrell Owens,Sports,Football,ESTP
Terrell Suggs,Sports,Football,ESFP
Terrelle Pryor,Sports,Football,ESFP
Terrence Ruffin (Ruff Diesel),Sports,Bodybuilding,INTP
Terry Bradshaw,Sports,Football,ESFJ
Terry Fox,Sports,Track & Field,INFJ
Terry Francona,Sports,Baseball,INTJ
Terry Rothlisberger,Sports,Frisbee,ISTJ
Terry Rozier III,Sports,Basketball,ESTP
Tessa Blanchard,Sports,Wrestling,ESFJ
Tessa Virtue,Sports,Ice skating,ISFJ
Tetsuya Naito,Sports,Wrestling,ESTP
Thaddeus Young,Sports,Basketball,ISTP
Thanasi Kokkinakis,Sports,Tennis,ENFJ
The Blade,Sports,Wrestling,ISTJ
The Blue Meanie,Sports,Wrestling,ESFP
The Godfather,Sports,Wrestling,ESTP
The Great Khali,Sports,Wrestling,ISFJ
The Hurricane,Sports,Wrestling,ENTP
The Miz,Sports,Wrestling,ENTP
The Nexus,Sports,Wrestling,ESFP
The Professor,Sports,Basketball,ISTP
The Rock,Sports,Wrestling,ENTP
The Shield (WWE Tag team),Sports,Wrestling,ESTP
The Ultimate Warrior,Sports,Wrestling,ESTP
